Image,Kernel,Implementation,Time
1536,17,"SExtractor::BgConvolutionImageSource",11992552212
1536,17,"SExtractor::BgDFTConvolutionImageSource",1065837225
1792,3,"SExtractor::BgConvolutionImageSource",556558159
1792,3,"SExtractor::BgDFTConvolutionImageSource",1189021696
1792,5,"SExtractor::BgConvolutionImageSource",1434357560
1792,5,"SExtractor::BgDFTConvolutionImageSource",1191292733
1792,7,"SExtractor::BgConvolutionImageSource",2822312655
1792,7,"SExtractor::BgDFTConvolutionImageSource",1189165143
1792,9,"SExtractor::BgConvolutionImageSource",4641871676
1792,9,"SExtractor::BgDFTConvolutionImageSource",1189667709
1792,11,"SExtractor::BgConvolutionImageSource",6807706871
1792,11,"SExtractor::BgDFTConvolutionImageSource",1195643204
1792,13,"SExtractor::BgConvolutionImageSource",9303504465
1792,13,"SExtractor::BgDFTConvolutionImageSource",1194811082
1792,15,"SExtractor::BgConvolutionImageSource",12198234576
1792,15,"SExtractor::BgDFTConvolutionImageSource",1193622408
1792,17,"SExtractor::BgConvolutionImageSource",15626615630
1792,17,"SExtractor::BgDFTConvolutionImageSource",1180860505
2048,3,"SExtractor::BgConvolutionImageSource",733905038
2048,3,"SExtractor::BgDFTConvolutionImageSource",3623506934
2048,5,"SExtractor::BgConvolutionImageSource",1929893428
2048,5,"SExtractor::BgDFTConvolutionImageSource",1785764654
2048,7,"SExtractor::BgConvolutionImageSource",3742991480
2048,7,"SExtractor::BgDFTConvolutionImageSource",1774840875
2048,9,"SExtractor::BgConvolutionImageSource",6235325949
2048,9,"SExtractor::BgDFTConvolutionImageSource",1755473913
2048,11,"SExtractor::BgConvolutionImageSource",9451202614
2048,11,"SExtractor::BgDFTConvolutionImageSource",1990145201
2048,13,"SExtractor::BgConvolutionImageSource",12854916640
2048,13,"SExtractor::BgDFTConvolutionImageSource",1807240408
2048,15,"SExtractor::BgConvolutionImageSource",17890085059
2048,15,"SExtractor::BgDFTConvolutionImageSource",1999121112
2048,17,"SExtractor::BgConvolutionImageSource",21620317902
2048,17,"SExtractor::BgDFTConvolutionImageSource",1796119132
2304,3,"SExtractor::BgConvolutionImageSource",947980921
2304,3,"SExtractor::BgDFTConvolutionImageSource",1930359961
2304,5,"SExtractor::BgConvolutionImageSource",2381689578
2304,5,"SExtractor::BgDFTConvolutionImageSource",1948788829
2304,7,"SExtractor::BgConvolutionImageSource",4696478079
2304,7,"SExtractor::BgDFTConvolutionImageSource",1907653852
2304,9,"SExtractor::BgConvolutionImageSource",7872715697
2304,9,"SExtractor::BgDFTConvolutionImageSource",1911278035
2304,11,"SExtractor::BgConvolutionImageSource",11276633093
2304,11,"SExtractor::BgDFTConvolutionImageSource",1919773712
2304,13,"SExtractor::BgConvolutionImageSource",15427671671
2304,13,"SExtractor::BgDFTConvolutionImageSource",1904010751
2304,15,"SExtractor::BgConvolutionImageSource",20268628145
2304,15,"SExtractor::BgDFTConvolutionImageSource",1958865398
2304,17,"SExtractor::BgConvolutionImageSource",26950163000
2304,17,"SExtractor::BgDFTConvolutionImageSource",1922824768
2560,3,"SExtractor::BgConvolutionImageSource",1164956496
2560,3,"SExtractor::BgDFTConvolutionImageSource",5724154453
2560,5,"SExtractor::BgConvolutionImageSource",2942688014
2560,5,"SExtractor::BgDFTConvolutionImageSource",2742307158
2560,7,"SExtractor::BgConvolutionImageSource",6106560942
2560,7,"SExtractor::BgDFTConvolutionImageSource",2713958081
2560,9,"SExtractor::BgConvolutionImageSource",10327937564
2560,9,"SExtractor::BgDFTConvolutionImageSource",2711530536
2560,11,"SExtractor::BgConvolutionImageSource",14422405270
2560,11,"SExtractor::BgDFTConvolutionImageSource",2944331566
2560,13,"SExtractor::BgConvolutionImageSource",20076696603
2560,13,"SExtractor::BgDFTConvolutionImageSource",2885015451
2560,15,"SExtractor::BgConvolutionImageSource",25865751073
2560,15,"SExtractor::BgDFTConvolutionImageSource",2611045857
2560,17,"SExtractor::BgConvolutionImageSource",32287589197
2560,17,"SExtractor::BgDFTConvolutionImageSource",2638258662
2816,3,"SExtractor::BgConvolutionImageSource",1383852020
2816,3,"SExtractor::BgDFTConvolutionImageSource",2820302017
2816,5,"SExtractor::BgConvolutionImageSource",3721561596
2816,5,"SExtractor::BgDFTConvolutionImageSource",3055146430
2816,7,"SExtractor::BgConvolutionImageSource",7120863611
2816,7,"SExtractor::BgDFTConvolutionImageSource",3037405149
2816,9,"SExtractor::BgConvolutionImageSource",11865047726
2816,9,"SExtractor::BgDFTConvolutionImageSource",2925797248
2816,11,"SExtractor::BgConvolutionImageSource",17663905592
2816,11,"SExtractor::BgDFTConvolutionImageSource",2973502799
2816,13,"SExtractor::BgConvolutionImageSource",24018861489
2816,13,"SExtractor::BgDFTConvolutionImageSource",2969860388
2816,15,"SExtractor::BgConvolutionImageSource",32274576771
2816,15,"SExtractor::BgDFTConvolutionImageSource",2914812421
2816,17,"SExtractor::BgConvolutionImageSource",39843881799
2816,17,"SExtractor::BgDFTConvolutionImageSource",3158720324
3072,3,"SExtractor::BgConvolutionImageSource",1710142111
