Input,Time,MaxMemory
2000,53.8825,361.753906
2000,53.8829,361.550781
10000,242.5697,475.523438
10000,241.4594,482.593750
15000,357.6057,550.574219
20000,465.2250,714.382812
67396,1427.9525,1515.640625
