Input,Time,MaxMemory
1000,123.0139,316.546875
1000,119.4753,316.417969
1000,118.4717,316.421875
5000,431.4897,401.515625
5000,417.6286,402.542969
10000,798.8002,455.019531
10000,779.9997,472.968750
15000,1150.8809,528.328125
15000,1156.3709,549.964844
20000,1526.5073,613.289062
30000,2256.7963,749.406250
40000,2944.3693,1042.058594
