CMDLINE ./build.x86_64-fc28-gcc82-o2g/bin/SExtractor --config-file /home/aalvarez/Work/Data/sextractorxx_sim09_r.config
MEM 2.074219 1550057432.2990
MEM 32.164062 1550057432.3993
MEM 45.000000 1550057432.5005
MEM 55.617188 1550057432.6009
MEM 64.898438 1550057432.7012
MEM 73.921875 1550057432.8015
MEM 83.203125 1550057432.9019
MEM 92.226562 1550057433.0022
MEM 98.929688 1550057433.1034
MEM 105.890625 1550057433.2038
MEM 114.398438 1550057433.3041
MEM 123.421875 1550057433.4045
MEM 131.671875 1550057433.5048
MEM 138.890625 1550057433.6051
MEM 147.914062 1550057433.7055
MEM 157.710938 1550057433.8058
MEM 161.378906 1550057433.9062
MEM 162.410156 1550057434.0065
MEM 163.183594 1550057434.1068
MEM 163.957031 1550057434.2071
MEM 164.730469 1550057434.3074
MEM 165.503906 1550057434.4077
MEM 166.277344 1550057434.5080
MEM 167.050781 1550057434.6083
MEM 167.824219 1550057434.7086
MEM 168.597656 1550057434.8089
MEM 168.597656 1550057434.9100
MEM 169.113281 1550057435.0103
MEM 169.886719 1550057435.1106
MEM 169.886719 1550057435.2109
MEM 170.144531 1550057435.3112
MEM 170.917969 1550057435.4114
MEM 171.433594 1550057435.5122
MEM 171.949219 1550057435.6125
MEM 172.980469 1550057435.7128
MEM 173.496094 1550057435.8130
MEM 174.011719 1550057435.9133
MEM 174.527344 1550057436.0146
MEM 175.042969 1550057436.1151
MEM 175.558594 1550057436.2153
MEM 176.132812 1550057436.3156
MEM 176.132812 1550057436.4158
MEM 176.390625 1550057436.5161
MEM 177.164062 1550057436.6164
MEM 177.679688 1550057436.7168
MEM 178.195312 1550057436.8171
MEM 178.710938 1550057436.9173
MEM 179.226562 1550057437.0176
MEM 179.742188 1550057437.1179
MEM 180.257812 1550057437.2182
MEM 180.773438 1550057437.3186
MEM 181.289062 1550057437.4188
MEM 181.804688 1550057437.5190
MEM 182.320312 1550057437.6194
MEM 182.320312 1550057437.7196
MEM 183.093750 1550057437.8198
MEM 183.867188 1550057437.9201
MEM 184.382812 1550057438.0204
MEM 184.382812 1550057438.1207
MEM 184.640625 1550057438.2210
MEM 185.156250 1550057438.3213
MEM 185.671875 1550057438.4216
MEM 186.187500 1550057438.5223
MEM 186.703125 1550057438.6226
MEM 187.218750 1550057438.7229
MEM 187.218750 1550057438.8232
MEM 187.734375 1550057438.9235
MEM 188.250000 1550057439.0248
MEM 188.765625 1550057439.1251
MEM 189.023438 1550057439.2254
MEM 189.281250 1550057439.3258
MEM 190.054688 1550057439.4261
MEM 190.570312 1550057439.5263
MEM 191.085938 1550057439.6267
MEM 191.601562 1550057439.7274
MEM 192.117188 1550057439.8277
MEM 192.632812 1550057439.9280
MEM 193.148438 1550057440.0283
MEM 193.664062 1550057440.1286
MEM 194.179688 1550057440.2288
MEM 194.437500 1550057440.3292
MEM 194.953125 1550057440.4295
MEM 195.210938 1550057440.5299
MEM 195.726562 1550057440.6302
MEM 195.984375 1550057440.7307
MEM 196.500000 1550057440.8310
MEM 197.015625 1550057440.9313
MEM 197.531250 1550057441.0316
MEM 198.046875 1550057441.1319
MEM 198.562500 1550057441.2322
MEM 199.078125 1550057441.3325
MEM 199.593750 1550057441.4329
MEM 200.109375 1550057441.5332
MEM 200.625000 1550057441.6335
MEM 200.625000 1550057441.7338
MEM 201.140625 1550057441.8341
MEM 201.656250 1550057441.9345
MEM 201.914062 1550057442.0349
MEM 202.687500 1550057442.1352
MEM 202.945312 1550057442.2355
MEM 203.203125 1550057442.3358
MEM 203.718750 1550057442.4361
MEM 204.234375 1550057442.5374
MEM 204.750000 1550057442.6389
MEM 205.265625 1550057442.7392
MEM 205.781250 1550057442.8396
MEM 206.296875 1550057442.9410
MEM 206.812500 1550057443.0423
MEM 207.328125 1550057443.1427
MEM 207.843750 1550057443.2430
MEM 208.359375 1550057443.3433
MEM 208.359375 1550057443.4450
MEM 208.617188 1550057443.5454
MEM 209.132812 1550057443.6457
MEM 209.906250 1550057443.7461
MEM 210.421875 1550057443.8466
MEM 210.937500 1550057443.9468
MEM 211.453125 1550057444.0476
MEM 211.968750 1550057444.1479
MEM 212.226562 1550057444.2482
MEM 212.484375 1550057444.3485
MEM 212.742188 1550057444.4488
MEM 213.257812 1550057444.5491
MEM 213.773438 1550057444.6495
MEM 214.289062 1550057444.7498
MEM 214.804688 1550057444.8501
MEM 215.062500 1550057444.9505
MEM 215.578125 1550057445.0509
MEM 216.351562 1550057445.1511
MEM 216.867188 1550057445.2514
MEM 217.382812 1550057445.3518
MEM 217.898438 1550057445.4521
MEM 218.414062 1550057445.5524
MEM 218.929688 1550057445.6528
MEM 219.445312 1550057445.7531
MEM 219.703125 1550057445.8534
MEM 220.218750 1550057445.9539
MEM 220.734375 1550057446.0542
MEM 220.734375 1550057446.1546
MEM 221.250000 1550057446.2549
MEM 221.765625 1550057446.3552
MEM 222.023438 1550057446.4555
MEM 222.796875 1550057446.5558
MEM 223.312500 1550057446.6562
MEM 223.828125 1550057446.7565
MEM 224.343750 1550057446.8568
MEM 224.859375 1550057446.9571
MEM 225.375000 1550057447.0575
MEM 225.890625 1550057447.1578
MEM 225.890625 1550057447.2581
MEM 226.406250 1550057447.3584
MEM 226.664062 1550057447.4588
MEM 227.179688 1550057447.5590
MEM 227.695312 1550057447.6594
MEM 228.210938 1550057447.7598
MEM 228.468750 1550057447.8602
MEM 229.242188 1550057447.9605
MEM 229.242188 1550057448.0608
MEM 229.757812 1550057448.1611
MEM 230.273438 1550057448.2614
