CMDLINE ./build.x86_64-fc28-gcc82-o2g/bin/SExtractor --config-file /home/aalvarez/Work/Data/sextractorxx_sim09_r.config --threads-nb=4
MEM 1.785156 1550059875.0493
MEM 32.984375 1550059875.1496
MEM 45.468750 1550059875.2498
MEM 55.898438 1550059875.3502
MEM 65.179688 1550059875.4505
MEM 74.203125 1550059875.5508
MEM 83.226562 1550059875.6511
MEM 91.734375 1550059875.7515
MEM 99.984375 1550059875.8519
MEM 107.203125 1550059875.9522
MEM 115.195312 1550059876.0525
MEM 123.703125 1550059876.1528
MEM 131.953125 1550059876.2531
MEM 140.203125 1550059876.3534
MEM 148.710938 1550059876.4539
MEM 156.445312 1550059876.5542
MEM 164.019531 1550059876.6545
MEM 170.320312 1550059876.7549
MEM 172.640625 1550059876.8552
MEM 177.175781 1550059876.9563
MEM 179.695312 1550059877.0567
MEM 183.218750 1550059877.1570
MEM 186.511719 1550059877.2573
MEM 189.531250 1550059877.3576
MEM 192.605469 1550059877.4578
MEM 196.429688 1550059877.5581
MEM 198.187500 1550059877.6585
MEM 202.988281 1550059877.7589
MEM 202.468750 1550059877.8592
MEM 207.835938 1550059877.9595
MEM 209.093750 1550059878.0598
MEM 212.601562 1550059878.1601
MEM 215.875000 1550059878.2605
MEM 217.656250 1550059878.3608
MEM 221.164062 1550059878.4611
MEM 222.167969 1550059878.5614
MEM 225.292969 1550059878.6618
MEM 229.113281 1550059878.7621
MEM 229.613281 1550059878.8624
MEM 234.410156 1550059878.9627
MEM 235.156250 1550059879.0630
MEM 237.230469 1550059879.1634
MEM 239.742188 1550059879.2637
MEM 240.511719 1550059879.3640
MEM 240.871094 1550059879.4643
MEM 243.078125 1550059879.5646
MEM 246.425781 1550059879.6649
MEM 250.808594 1550059879.7662
MEM 0.000000 1550059879.8681
