CMDLINE ./build.x86_64-fc28-gcc82-o2g/bin/SExtractor --config-file /home/aalvarez/Work/Data/sextractorxx_sim09_r.config
MEM 1.484375 1550057760.0381
MEM 31.988281 1550057760.1384
MEM 43.867188 1550057760.2387
MEM 61.675781 1550057760.3391
MEM 81.527344 1550057760.4394
MEM 100.863281 1550057760.5398
MEM 117.878906 1550057760.6401
MEM 136.957031 1550057760.7405
MEM 153.457031 1550057760.8408
MEM 162.023438 1550057760.9421
MEM 164.343750 1550057761.0424
MEM 166.664062 1550057761.1428
MEM 168.726562 1550057761.2430
MEM 170.531250 1550057761.3433
MEM 172.078125 1550057761.4436
MEM 174.140625 1550057761.5438
MEM 175.746094 1550057761.6441
MEM 176.777344 1550057761.7445
MEM 178.839844 1550057761.8448
MEM 180.386719 1550057761.9451
MEM 181.933594 1550057762.0455
MEM 183.996094 1550057762.1458
MEM 185.285156 1550057762.2461
MEM 187.347656 1550057762.3464
MEM 188.636719 1550057762.4468
MEM 190.183594 1550057762.5471
MEM 191.730469 1550057762.6474
MEM 193.277344 1550057762.7477
MEM 194.824219 1550057762.8481
MEM 195.339844 1550057762.9484
MEM 196.628906 1550057763.0493
MEM 198.691406 1550057763.1496
MEM 200.238281 1550057763.2498
MEM 201.527344 1550057763.3501
MEM 202.816406 1550057763.4505
MEM 204.363281 1550057763.5508
MEM 205.910156 1550057763.6511
MEM 207.972656 1550057763.7514
MEM 208.230469 1550057763.8517
MEM 209.519531 1550057763.9521
MEM 211.066406 1550057764.0524
MEM 212.355469 1550057764.1528
MEM 214.160156 1550057764.2530
MEM 215.191406 1550057764.3533
MEM 216.996094 1550057764.4536
MEM 218.542969 1550057764.5551
MEM 220.347656 1550057764.6555
MEM 221.378906 1550057764.7558
MEM 223.183594 1550057764.8561
MEM 224.988281 1550057764.9564
MEM 226.277344 1550057765.0567
MEM 227.566406 1550057765.1571
MEM 229.113281 1550057765.2574
MEM 230.917969 1550057765.3577
MEM 232.464844 1550057765.4580
MEM 234.011719 1550057765.5583
MEM 234.527344 1550057765.6586
MEM 236.332031 1550057765.7589
MEM 237.363281 1550057765.8591
MEM 238.910156 1550057765.9594
MEM 239.425781 1550057766.0598
MEM 240.457031 1550057766.1601
MEM 242.386719 1550057766.2603
MEM 243.933594 1550057766.3607
